# gunzip -c /home/sant1ago/Downloads/musc-demixing/data/tmp/lyric_seperation/beatiful/decode_results/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/chain_cleaned/tdnn_1d_sp/graph_tgsmall 
# Started at Wed Jun 22 02:01:43 +07 2022
#
Overall, ER0_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.8,9) frames.
Overall, IH0_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (1,1.5,2) frames.
Overall, M_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.2,3) frames.
Overall, T_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,4) frames.
Overall, Z_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,8) frames.
The optional-silence phone SIL occupies 35.6% of frames overall 
Limiting the stats to the 83.2% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 22.6% of frames.
Assuming 100 frames per second, the alignments represent 0.0 hours of data, or 0.0 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 10.9% of utterance-internal phones, with duration (median, mean, 95-percentile) = (10,17.5,39)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Jun 22 02:01:43 +07 2022, elapsed time 0 seconds
